REG,REG_name
82,Rhône-Alpes
22,Picardie
94,Corse
83,Auvergne
93,Provence-Alpes-Côte d'Azur
21,Champagne-Ardenne
73,Midi-Pyrénées
91,Languedoc-Roussillon
25,Basse-Normandie
54,Poitou-Charentes
24,Centre
74,Limousin
26,Bourgogne
53,Bretagne
72,Aquitaine
43,Franche-Comté
23,Haute-Normandie
52,Pays de la Loire
41,Lorraine
31,Nord-Pas-de-Calais
42,Alsace
11,Île-de-France
1,Guadeloupe
2,Martinique
3,Guyane
4,La Réunion
6,Saint-Pierre-et-Miquelon
5,Mayotte
