CODGEO,Ecart H/F études supérieures,Ecart H/F temps partiels,Ecart H/F actifs occupés,Ecart H/F Salaire net moyen
01001,0.015855419813065874,0.791777050870311,0.1473476056850926,0.1589146911065715
01002,0.518163105411118,0.09916305034115457,0.1301116922021596,0.1589146911065715
01004,-0.153232472407387,0.6552519271490413,0.13753185167592388,0.19494281399199365
01005,-0.47058823529412186,0.8350515463917519,0.08695652173913049,0.1589146911065715
01006,-0.09868709929887923,1.0,0.2142857142857141,0.1589146911065715
01007,-0.3157894736842105,0.8076923076923077,0.012345679012345678,0.15546227826018166
01008,0.4983484031454124,0.8695782709733415,0.03404242329994362,0.1589146911065715
01009,0.39695470273394723,0.116161825115897,0.20104936141823695,0.1589146911065715
01010,-0.2098863568665733,0.9216844661255165,0.12093690151043855,0.1589146911065715
01011,-1.0006212849553462,0.961626783449533,0.06394869368550254,0.1589146911065715
01012,-0.0031772839171279716,0.800159471335714,-0.12830103136915133,0.1589146911065715
01013,1.0,0.14285714285714343,0.0,0.1589146911065715
01014,0.10287662628651607,0.7340819197430457,0.2055983878484682,0.21705336653107535
01015,-2.0302880480837215,0.7138100643454812,0.1588397287761204,0.1589146911065715
01016,-2.00000000000001,0.9259259259259258,0.029411764705885884,0.1589146911065715
01017,0.04044046624814679,0.5567963917736916,-0.04242318398736476,0.1589146911065715
01019,-0.09868709929887923,1.0,0.4999999999999992,0.1589146911065715
01021,0.14661310046633688,0.7849069963105336,0.08628000928767167,0.1589146911065715
01022,-0.25593143510620725,0.8333691149326372,0.05062578947745645,0.1589146911065715
01023,1.0,0.6,0.0,0.1589146911065715
01024,0.033828025032313136,0.8805027728135556,-0.0027154744627627216,0.17049302881073933
01025,-0.030303030303030304,0.7894736842105263,0.06382978723404255,0.15732005818834968
01026,0.3,0.8461538461538461,0.0547945205479452,0.1589146911065715
01027,-0.18268369751462846,0.8300976180736774,0.4085017330556428,0.19251025485912052
01028,0.2,0.7567567567567568,-0.057142857142857224,0.1589146911065715
01029,0.21449609582325968,0.8608290275643152,0.23948749612698972,0.1589146911065715
01030,-0.42857142857142855,0.9787234042553191,-0.010101010101010102,0.1589146911065715
01031,0.05875604896227413,0.5745716779185556,0.1473584688154884,0.174752847394006
01032,-0.5554875954163307,0.7897868156429558,0.12560547854446208,0.14225930707811474
01033,0.104158073464186,0.7303288920755795,0.14427241751073797,0.14800111820062684
01034,0.03568416828650632,0.7356991965019735,0.07349640387680821,0.122669084540946
01035,0.0,0.6315789473684204,0.09999999999999942,0.1589146911065715
01036,-2.975365178878787,0.5157272730367963,0.13504795930710314,0.1589146911065715
01037,-2.9351355077045076,0.9320833366740765,0.5401947725824454,0.1589146911065715
01038,0.026763578632479443,0.8217533984505453,0.026815000325562513,0.1589146911065715
01039,0.38584891050648484,0.8277935248470769,0.08157298383039477,0.1589146911065715
01040,0.250000000000008,0.7599999999999998,0.06495176848874701,0.1589146911065715
01041,0.33171146526481615,0.8157327506770885,0.02161276848360308,0.1589146911065715
01042,1.0,0.7994976421091282,0.11102627736482884,0.1589146911065715
01043,0.0891089108910891,0.80078125,0.033183856502242155,0.1526385379746259
01044,-0.7120336491911206,0.8183555208031937,0.08857526812495409,0.1589146911065715
01045,0.0,0.7846914604858983,0.04367322415268477,0.1589146911065715
01046,0.0039850351406698105,0.7692233635782276,0.04055342558023896,0.1589146911065715
01047,-0.29999999999998345,0.7719298245614055,0.15890410958903967,0.1589146911065715
