CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
26377,12.42,13.29,24.44,24.44,11.93,30.61,40.82,18.37,9.18
26378,12.12,9.09,21.21,27.27,9.09,50.0,0.0,0.0,50.0
26379,15.2,15.86,22.8,22.03,7.05,23.38,40.26,28.57,7.79
26380,16.26,17.69,23.31,18.6,6.62,27.46,28.7,39.42,2.21
26381,13.25,19.79,22.33,14.33,6.86,18.91,36.92,32.22,11.94
26382,13.3,22.63,17.66,17.33,5.06,22.82,34.13,36.23,4.54
27001,11.93,20.8,17.13,22.32,7.03,21.43,32.14,28.57,10.71
27002,16.83,17.46,18.79,22.5,5.77,24.83,42.44,30.06,2.67
27003,14.53,20.5,21.63,18.05,6.48,28.03,32.67,31.55,6.94
27004,17.1,23.07,21.96,7.31,2.44,11.31,26.67,54.34,7.68
27005,13.73,25.4,19.6,12.03,4.21,19.24,29.46,41.97,8.15
27006,7.79,24.03,16.23,16.23,10.39,30.77,30.77,38.46,0.0
27008,15.99,22.97,17.57,14.37,5.75,25.04,26.34,35.15,13.47
27009,17.63,14.26,22.86,15.64,7.83,25.17,33.4,33.1,8.33
27010,12.07,19.54,21.26,23.56,4.6,26.67,26.67,26.67,20.0
27011,14.93,18.44,22.38,18.83,7.96,24.98,32.52,32.7,9.8
27012,17.0,17.67,27.74,11.63,6.71,20.0,31.43,42.86,2.86
27013,11.93,26.69,18.46,14.63,3.46,21.73,35.2,43.07,0.0
27014,12.86,20.44,22.21,16.68,5.21,20.24,36.0,38.88,1.59
27015,12.67,23.33,19.6,14.93,6.39,18.61,29.93,41.15,10.31
27016,17.62,16.47,19.7,16.33,8.9,36.28,25.07,25.94,10.81
27017,14.71,20.03,21.05,17.66,4.89,25.97,29.59,32.11,10.6
27018,11.49,20.26,19.66,18.85,8.17,26.19,34.52,29.76,8.33
27019,13.5,20.86,28.22,12.88,6.75,21.43,21.43,28.57,28.57
27020,15.51,19.47,22.99,17.39,6.46,24.52,30.66,32.56,10.81
27021,14.41,22.35,17.65,15.88,8.24,24.14,27.59,41.38,3.45
27022,16.63,17.36,21.4,17.26,6.19,29.14,26.11,29.14,14.69
27023,14.27,13.56,25.99,21.61,9.32,21.67,41.67,30.0,6.67
27025,13.33,21.52,22.85,16.12,5.34,25.9,31.58,34.7,5.19
27026,17.63,22.32,23.44,12.95,2.68,15.15,36.36,42.42,3.03
27027,10.14,23.43,20.98,16.43,5.24,14.29,38.1,42.86,4.76
27028,15.18,16.38,23.04,13.52,10.21,38.14,24.17,27.38,10.31
27031,12.89,13.97,25.77,24.05,7.99,16.13,44.09,27.96,10.75
27032,14.46,22.52,20.65,14.84,4.88,21.53,24.32,42.94,10.28
27033,11.37,16.49,28.46,19.25,3.84,14.28,43.91,38.07,3.74
27034,17.56,20.73,19.77,13.09,3.68,18.77,32.11,44.59,4.53
27035,10.78,14.71,21.57,28.43,15.69,40.0,50.0,10.0,0.0
27036,13.31,17.74,21.63,17.74,10.17,23.26,37.21,30.23,9.3
27037,13.51,21.13,20.09,14.72,5.54,20.45,34.09,37.5,7.95
27038,8.92,21.89,16.97,15.91,7.04,21.69,17.85,42.22,13.78
27039,12.56,19.54,22.11,18.34,6.24,20.17,30.09,44.74,5.0
27040,15.4,22.1,18.97,15.18,5.58,22.86,34.29,42.86,0.0
27042,19.48,16.88,29.87,12.99,1.3,28.57,14.29,42.86,14.29
27043,11.98,16.57,22.63,21.01,7.4,28.33,30.0,28.33,11.67
27044,10.02,13.09,27.9,27.11,9.62,23.47,48.05,23.25,3.9
27045,15.49,18.93,21.86,19.44,4.71,14.88,29.38,44.84,7.28
27046,13.99,14.69,18.88,23.08,8.39,38.46,30.77,23.08,7.69
27047,16.07,21.13,19.64,16.07,3.27,28.57,28.57,32.14,10.71
27048,16.49,13.83,20.21,27.66,7.98,23.53,52.94,23.53,0.0
27049,11.75,16.94,21.34,21.05,10.1,32.67,33.66,24.75,7.43
27050,10.89,13.24,22.13,27.1,11.35,28.46,39.43,20.67,11.44
27051,14.88,16.6,20.1,17.07,11.17,43.0,23.08,21.53,10.92
27052,9.78,14.57,15.19,32.25,14.74,29.72,44.16,23.17,2.94
27053,12.27,12.73,33.64,21.82,2.27,16.67,44.44,33.33,5.56
27054,13.72,14.05,20.53,16.54,11.44,28.98,33.32,24.37,11.11
27055,17.52,19.92,18.74,15.45,5.76,16.06,36.06,43.87,4.01
27056,14.77,15.13,19.49,22.17,12.15,52.26,23.1,12.83,9.88
27057,15.22,20.08,26.79,13.35,5.97,18.47,36.56,44.97,0.0
27058,12.26,14.66,23.1,20.32,10.67,25.74,33.09,31.62,7.35
27059,16.25,18.52,20.22,18.04,4.6,20.17,28.09,43.71,4.01
27061,15.29,20.18,22.02,14.98,5.5,31.03,27.59,34.48,6.9
27062,12.35,18.27,23.23,18.91,5.09,16.67,41.67,38.33,3.33
27063,14.92,28.23,12.5,8.47,2.42,17.65,23.53,47.06,11.76
27064,11.39,24.41,19.97,16.12,4.44,24.07,29.63,38.89,5.56
27065,17.0,19.5,17.31,16.68,8.65,37.04,29.77,23.66,7.62
27066,11.75,22.96,19.55,9.17,4.4,21.95,22.38,46.63,4.56
27067,14.89,20.99,21.12,16.73,4.2,24.79,26.45,36.36,12.4
27068,10.23,18.18,23.3,13.64,11.36,33.33,26.67,33.33,6.67
27069,16.5,15.68,23.13,22.7,7.71,29.29,30.2,30.53,3.36
27070,13.65,21.8,21.66,13.84,4.33,20.08,25.09,45.93,8.9
27071,10.23,20.93,25.58,17.67,6.51,17.65,41.18,23.53,11.76
27072,11.35,15.2,25.79,22.35,7.66,20.88,38.83,33.68,3.38
27073,15.16,21.17,17.96,16.21,4.96,18.44,34.27,41.59,4.56
27074,10.43,15.57,25.34,21.49,10.33,29.2,40.26,15.0,11.52
27075,9.74,15.56,22.76,20.6,13.97,32.0,34.68,26.39,3.47
27076,13.08,20.88,21.76,13.48,4.76,16.87,25.54,37.54,20.05
27077,14.8,22.87,18.16,14.12,5.9,25.07,27.7,35.66,11.58
27078,10.69,18.7,25.95,20.23,4.2,19.05,38.1,33.33,4.76
27079,9.58,19.08,20.41,19.52,8.36,20.58,34.42,31.19,13.81
27081,10.81,22.7,23.24,18.92,5.41,20.0,40.0,40.0,0.0
27082,15.77,18.04,24.08,15.92,7.58,32.31,27.77,23.32,15.04
27083,16.34,25.68,17.9,14.01,1.95,16.67,38.89,44.44,0.0
27085,14.77,22.94,19.58,14.37,4.09,18.58,30.09,44.25,6.19
27089,13.39,20.14,22.62,18.45,4.56,20.99,33.33,38.27,7.41
27090,13.08,19.42,20.71,19.11,7.17,20.03,37.14,36.66,5.48
27091,14.33,23.15,19.54,15.51,4.98,18.89,34.81,41.03,5.27
27094,11.38,25.2,17.07,14.63,8.13,40.0,10.0,30.0,10.0
27095,10.93,27.39,15.27,13.92,5.54,20.41,32.65,44.9,0.0
27096,13.58,19.08,19.22,16.4,9.95,27.82,34.56,34.17,3.46
27097,13.88,15.43,22.92,23.41,9.05,21.61,41.73,31.21,5.44
27098,20.73,15.85,26.83,14.63,4.88,16.67,16.67,50.0,16.67
27099,13.91,21.34,19.36,17.4,5.2,16.85,28.75,42.56,10.15
27100,14.62,22.51,20.1,13.37,3.9,18.39,29.89,47.13,4.6
27101,12.91,24.2,19.31,14.53,2.67,20.46,28.59,43.02,7.92
27102,13.07,20.08,24.46,16.42,6.13,23.94,34.01,36.23,4.64
27103,14.01,20.81,16.04,16.35,9.74,30.82,28.7,29.0,9.37
27104,14.37,21.45,24.28,16.07,3.49,20.38,34.78,37.61,7.23
27105,13.84,20.28,19.84,16.64,7.11,32.01,27.2,29.75,10.2
27106,14.44,16.32,17.15,23.85,7.32,25.64,38.46,33.33,2.56
27107,12.94,18.32,22.21,16.09,8.26,22.08,39.07,35.1,2.82
27108,14.87,14.87,20.02,22.18,10.3,37.07,30.17,25.0,6.9
27109,16.58,22.86,19.35,13.07,3.52,23.33,26.67,43.33,6.67
27110,14.62,25.29,18.16,14.24,3.99,16.91,34.86,43.81,4.43
27111,15.27,19.7,18.72,21.67,4.93,20.0,33.33,33.33,13.33
27112,13.26,15.44,19.77,18.59,12.64,39.74,27.1,21.23,10.63
27113,18.44,15.6,26.24,21.99,6.38,25.0,41.67,25.0,8.33
27114,11.07,18.43,21.98,19.09,7.6,26.47,35.29,30.39,7.84
27115,13.91,11.54,31.07,18.34,8.88,25.0,32.14,32.14,7.14
27116,17.27,15.12,19.48,18.79,10.31,38.56,26.74,22.37,11.31
27117,15.62,12.76,21.03,22.36,10.45,39.79,29.03,21.27,7.91
27118,11.92,19.04,19.35,17.34,9.6,22.45,36.73,34.69,6.12
27119,14.06,16.59,19.5,19.63,8.24,25.98,33.07,31.5,9.45
27120,12.87,23.76,22.03,12.87,4.21,19.35,29.03,38.71,9.68
27123,16.9,22.2,23.63,15.07,3.87,27.5,30.0,30.0,10.0
27124,18.72,13.24,26.48,21.46,5.48,26.32,31.58,26.32,15.79
27125,14.24,17.42,23.03,21.52,6.06,23.21,33.93,33.93,8.93
27126,11.26,21.34,21.53,19.07,5.0,17.65,32.94,37.65,10.59
27127,18.6,19.46,23.18,16.74,3.15,20.41,34.69,32.65,12.24
27129,11.59,16.27,23.62,22.21,8.68,27.61,34.04,24.33,14.02
27130,13.7,17.63,20.23,19.9,6.98,19.04,34.56,37.0,6.25
27132,12.76,20.03,24.16,19.59,3.61,14.67,41.87,38.78,3.12
27133,11.95,16.66,24.35,22.63,6.94,17.07,39.91,35.8,6.03
27134,12.44,26.27,22.58,14.29,3.69,29.41,23.53,35.29,11.76
27135,15.32,22.07,22.52,15.09,2.7,20.0,28.57,40.0,11.43
27136,13.41,16.67,23.91,21.38,5.8,30.43,39.13,30.43,0.0
27137,10.54,13.98,24.46,26.22,14.44,38.95,38.12,22.92,0.0
27138,13.95,16.31,22.27,20.88,11.36,26.74,35.4,31.98,5.88
27139,16.47,12.94,21.76,25.88,7.06,40.0,20.0,33.33,6.67
27140,16.82,15.66,28.04,15.45,7.04,30.46,23.25,32.02,11.36
27141,12.5,20.31,29.69,14.06,4.69,33.33,33.33,16.67,16.67
27142,16.73,24.91,20.64,9.61,0.71,14.29,19.05,52.38,9.52
27144,15.39,17.95,22.34,19.77,5.86,18.18,40.91,40.91,0.0
27146,16.44,21.38,20.39,14.44,10.91,17.39,40.61,42.01,0.0
27147,12.1,26.63,17.31,16.41,2.76,12.53,33.36,43.69,8.34
27148,12.44,15.61,22.44,20.97,9.76,28.57,25.71,31.43,14.29
27149,19.63,14.02,17.76,16.82,8.41,14.29,42.86,42.86,0.0
27151,13.96,16.07,20.17,22.51,9.66,32.68,30.07,22.88,9.8
27152,14.76,21.72,25.53,14.9,4.33,27.82,31.04,34.58,6.55
27153,12.49,23.06,21.11,17.18,5.93,21.13,32.67,42.11,4.08
27154,13.82,21.58,21.76,14.84,4.72,20.0,33.34,42.21,4.44
27155,22.43,18.69,14.95,19.63,6.54,40.0,20.0,30.0,10.0
27156,11.65,17.16,22.67,22.46,6.99,33.33,33.33,26.19,4.76
27157,13.73,21.49,21.95,14.78,4.15,24.27,30.1,36.89,7.77
27158,8.46,18.88,21.88,22.53,6.51,20.0,38.33,35.0,6.67
27161,11.63,20.59,23.45,18.56,5.54,22.47,35.96,35.96,5.62
27162,16.22,25.23,16.47,12.31,5.96,34.0,23.91,32.6,9.49
27163,17.33,21.78,19.31,11.39,3.96,15.38,23.08,53.85,7.69
27164,15.97,22.89,19.91,13.2,4.74,22.23,25.15,40.11,12.51
27165,17.66,16.59,18.72,15.61,10.18,39.33,22.83,22.08,14.43
27167,13.86,23.36,18.07,17.91,3.89,20.0,30.0,44.0,6.0
27168,11.93,17.81,22.67,18.89,6.48,28.57,28.57,42.86,0.0
27169,13.99,20.0,18.52,16.85,4.73,23.75,27.5,37.5,7.5
27170,15.95,14.42,19.96,19.84,12.43,39.66,28.82,21.34,8.48
27171,12.6,19.03,21.18,17.69,6.17,25.81,29.03,38.71,6.45
27173,11.57,21.49,19.01,12.4,9.09,12.5,50.0,25.0,12.5
27174,13.43,16.86,22.99,19.56,7.96,24.35,40.0,29.57,5.22
27176,21.66,19.82,21.66,10.6,7.37,26.67,20.0,46.67,6.67
27177,16.26,21.05,22.98,14.17,5.72,21.41,28.14,41.15,6.97
27179,16.2,18.85,23.32,16.34,5.17,19.64,30.36,39.29,10.71
27180,14.37,21.14,20.53,17.1,5.87,23.53,28.82,37.06,7.65
27181,16.35,18.71,21.94,16.25,6.68,14.07,27.63,42.21,16.08
27182,11.73,20.99,22.22,20.37,7.41,15.38,46.15,30.77,7.69
27183,15.08,19.67,19.72,16.4,7.72,25.5,30.31,34.16,8.35
27184,15.32,12.9,29.03,20.97,9.68,27.27,27.27,45.45,0.0
27185,13.32,29.49,12.96,9.36,5.4,13.89,22.22,47.22,16.67
27187,15.68,28.41,17.16,9.47,5.03,17.39,30.43,47.83,0.0
27188,15.68,21.58,21.41,13.56,5.6,22.85,28.97,38.78,5.13
27189,11.59,22.16,24.24,19.75,2.71,21.92,35.31,34.3,8.47
27190,9.24,17.59,25.98,23.11,7.38,40.0,35.0,15.0,10.0
27191,15.39,19.14,22.76,17.73,5.68,23.9,31.71,34.15,8.78
27192,14.97,15.43,23.5,23.09,5.34,19.87,43.89,30.3,5.94
27193,16.49,18.59,23.67,15.11,4.94,20.75,32.08,37.74,8.49
27194,13.82,24.8,21.54,12.2,3.66,22.22,33.33,33.33,11.11
27196,15.71,20.13,22.87,16.52,7.22,25.4,32.7,30.18,9.9
27198,17.27,20.56,19.76,13.77,6.92,29.1,28.9,31.72,8.23
27199,16.84,18.74,22.61,16.29,6.94,23.87,27.82,33.42,14.89
27200,16.34,16.99,28.1,15.03,4.58,15.38,38.46,38.46,7.69
27201,14.22,23.28,21.55,12.07,4.31,17.65,35.29,47.06,0.0
27202,15.08,19.44,23.31,19.44,4.54,22.4,37.52,32.15,7.93
27203,14.97,16.92,25.81,19.74,3.69,24.32,32.43,37.84,5.41
27204,16.73,16.0,26.55,16.36,8.73,29.17,29.17,33.33,8.33
27205,17.47,22.9,18.02,13.32,4.84,20.86,29.55,43.68,0.0
27206,15.1,21.2,19.27,16.92,6.44,23.27,32.23,41.57,0.0
27207,9.93,18.84,20.72,23.46,8.39,26.92,46.15,17.31,9.62
27208,15.79,15.79,19.08,22.37,11.18,30.77,23.08,30.77,7.69
27209,13.48,26.79,17.97,15.14,3.49,23.4,31.91,40.43,4.26
27210,13.09,24.57,18.93,12.63,3.01,23.79,32.45,40.85,0.0
27212,10.91,22.73,18.18,16.36,5.45,22.22,33.33,44.44,0.0
27213,13.91,20.31,21.72,17.32,4.97,22.74,32.42,35.58,8.21
27214,13.16,17.54,17.0,17.76,11.13,26.3,29.47,28.81,11.95
27215,13.28,20.5,26.18,15.74,3.69,25.64,35.17,35.81,3.38
27216,11.76,20.28,26.57,18.05,5.68,10.53,39.47,44.74,5.26
27217,15.35,23.1,18.67,15.6,4.37,16.64,35.18,36.61,11.57
27218,14.98,17.99,20.38,19.99,7.88,27.2,36.0,28.8,4.8
27219,13.81,22.57,22.01,15.49,5.41,27.27,29.55,38.64,4.55
27220,16.71,18.44,21.9,17.29,6.05,25.81,35.48,32.26,6.45
27222,11.28,23.59,20.51,15.38,6.15,20.0,26.67,40.0,0.0
27224,12.11,19.16,25.77,19.38,5.95,21.05,39.47,28.95,7.89
27226,17.13,16.68,21.76,18.28,8.14,31.26,27.99,27.49,10.73
27227,16.39,21.8,18.35,14.44,5.26,21.57,25.49,35.29,17.65
27228,14.81,23.82,21.35,13.26,2.66,22.47,22.63,45.84,4.53
27229,20.98,18.65,19.19,13.66,7.28,48.39,17.77,18.05,14.07
27230,15.91,19.71,18.15,15.5,9.6,34.69,27.25,26.61,9.91
27231,11.92,19.35,20.59,22.98,5.77,19.48,31.16,37.98,8.55
27232,17.69,22.05,20.8,10.36,3.27,21.24,25.22,45.18,8.36
27233,13.67,18.78,22.79,20.63,7.13,21.85,36.35,35.25,6.55
27234,19.25,16.15,21.86,16.21,8.82,24.36,31.24,21.69,22.71
27235,12.9,23.87,16.77,18.71,5.81,8.33,33.33,41.67,16.67
27237,16.86,19.77,26.16,16.28,2.91,33.33,26.67,40.0,0.0
27238,14.54,21.6,22.64,12.34,4.05,14.44,30.18,45.67,8.5
27239,11.77,14.84,20.03,34.89,6.27,26.05,41.1,25.14,5.14
27240,9.04,10.85,21.27,28.54,12.69,36.41,31.82,18.13,9.09
27241,11.93,21.59,19.32,17.61,6.82,15.38,38.46,30.77,15.38
27242,12.74,18.78,21.06,18.96,8.31,29.89,29.63,31.4,9.08
27243,14.37,19.37,21.6,17.82,5.86,24.68,37.74,34.3,1.64
27245,13.22,15.59,22.15,27.47,8.75,27.68,33.0,18.26,16.85
27246,16.98,16.61,19.82,17.91,9.99,41.87,25.47,21.54,9.45
27247,14.47,17.17,22.92,20.91,5.01,22.52,44.58,29.18,3.72
27248,9.95,19.9,20.9,19.9,9.95,25.0,18.75,43.75,6.25
27249,13.32,23.33,20.32,15.85,2.94,14.38,33.66,43.53,8.43
27251,13.84,15.66,20.22,22.59,8.01,21.28,38.3,34.04,6.38
27252,12.95,17.63,21.89,21.27,7.46,35.3,31.13,30.11,3.46
27254,14.54,18.09,23.05,18.68,4.85,25.71,38.57,31.43,4.29
27256,16.03,21.79,20.99,14.26,2.88,17.39,34.78,41.3,6.52
27258,15.5,19.52,21.48,17.12,4.12,17.58,33.04,39.12,7.72
27259,16.67,23.33,28.89,10.0,0.0,28.57,57.14,14.29,0.0
27260,11.73,23.28,18.63,16.97,5.41,20.86,32.9,38.1,6.08
27261,13.8,17.65,20.59,19.68,7.69,21.62,37.84,32.43,8.11
27263,12.65,20.25,21.73,19.15,6.88,21.65,34.59,35.83,3.96
27266,13.23,24.84,19.03,16.13,3.87,25.0,29.17,41.67,4.17
27267,12.1,18.56,22.38,23.02,7.61,32.98,28.4,29.29,6.17
27269,8.16,19.39,18.88,22.96,12.24,27.78,38.89,27.78,0.0
27271,16.88,20.62,22.19,14.06,3.75,25.0,25.0,33.33,12.5
27273,15.55,19.69,26.04,15.18,3.22,22.11,36.01,38.33,3.55
27275,20.31,19.3,17.27,16.11,6.49,39.64,23.46,21.2,13.43
27276,11.12,15.09,30.19,20.11,7.31,22.25,42.43,26.84,8.49
27277,15.56,18.26,24.51,14.28,4.26,22.95,26.38,40.13,8.77
27278,13.68,20.15,21.03,15.37,7.15,26.28,31.41,33.97,7.69
27279,14.51,18.78,20.53,18.29,7.63,28.34,29.17,28.2,12.34
27280,30.31,22.95,19.8,7.19,3.29,18.13,30.88,40.74,10.25
27281,15.72,16.6,26.65,18.77,3.06,21.05,36.84,31.58,10.53
27282,14.76,18.04,19.38,20.79,7.46,25.74,33.57,28.24,12.45
27284,17.98,17.25,18.38,16.64,9.85,40.2,22.34,21.52,14.25
27285,12.37,12.29,25.3,28.5,9.26,27.94,36.54,26.51,9.01
27286,17.36,18.41,19.33,17.63,6.75,25.14,34.71,30.39,6.55
27287,13.32,19.35,21.72,22.33,4.3,21.2,38.07,32.28,7.05
27288,13.94,20.99,19.78,16.07,5.19,19.5,34.74,41.41,4.34
27289,11.31,18.45,19.64,25.6,5.95,28.57,42.86,28.57,0.0
27290,12.74,19.9,21.02,18.15,6.77,24.51,31.37,35.29,7.84
27291,13.64,15.91,23.48,17.42,10.61,25.0,33.33,33.33,0.0
27294,13.49,23.67,18.73,16.72,5.94,22.78,34.18,31.65,8.86
27295,13.62,15.11,24.26,21.7,7.66,30.95,40.48,26.19,2.38
27298,14.94,19.81,25.97,13.63,5.52,27.99,24.0,40.01,4.0
27299,17.43,18.68,20.58,16.02,7.46,36.87,25.2,21.75,14.32
27300,13.43,18.63,19.07,17.07,8.9,29.29,31.75,29.86,4.56
27301,13.99,20.17,19.22,19.41,4.5,15.86,35.56,37.73,7.62
27302,12.8,19.77,19.46,20.23,5.98,20.39,33.01,35.92,10.68
27304,19.63,13.5,26.99,16.56,11.04,33.33,26.67,33.33,6.67
27306,14.99,17.8,23.16,17.98,6.24,17.85,37.18,35.3,8.7
27307,14.08,23.19,18.59,16.66,4.09,25.41,32.92,33.6,2.74
27309,13.16,21.41,18.78,21.37,4.45,18.41,33.64,37.69,10.27
27310,14.93,18.26,24.91,16.57,6.02,24.98,29.69,33.44,9.01
27311,12.06,14.43,16.24,17.83,16.47,22.38,28.11,36.84,12.67
27312,11.7,14.34,29.67,20.22,6.51,22.05,34.95,29.89,8.74
27313,14.3,22.57,19.8,16.88,3.68,13.53,36.26,41.13,6.81
27315,11.4,18.75,24.26,22.43,2.94,26.09,26.09,30.43,17.39
27316,14.02,19.59,22.81,18.18,6.33,19.97,36.73,34.4,7.91
27317,13.5,18.75,23.21,16.29,7.08,23.05,30.36,38.43,5.4
27318,13.29,19.96,23.62,16.62,6.0,24.91,33.84,31.87,9.38
27319,13.41,18.64,22.0,22.06,5.6,8.76,43.63,38.92,4.34
27320,14.33,23.42,17.82,12.56,7.34,13.47,37.2,49.33,0.0
27321,13.33,13.33,28.15,27.41,2.96,18.18,45.45,36.36,0.0
27322,11.71,18.32,24.07,21.12,6.61,29.27,34.96,30.08,5.69
27323,12.46,18.51,18.15,17.79,11.03,32.0,32.0,16.0,20.0
27324,15.56,17.67,24.96,17.83,3.57,22.92,37.5,35.42,2.08
27325,9.28,25.77,17.53,10.82,3.09,15.38,30.77,53.85,0.0
27326,13.31,16.29,27.13,15.83,7.0,22.87,26.18,36.06,11.15
27327,18.87,17.92,25.94,13.68,7.08,16.67,44.44,33.33,5.56
27329,13.78,18.5,23.49,20.34,4.33,19.67,31.15,32.79,11.48
27330,11.19,16.42,29.1,17.16,11.94,38.46,23.08,30.77,7.69
27331,11.23,17.26,26.07,21.49,4.96,19.47,40.26,35.08,5.18
27332,20.05,17.37,19.69,19.78,6.6,27.65,37.08,28.11,7.16
27333,16.08,20.92,21.18,14.77,3.83,15.96,29.97,44.08,6.0
27334,8.18,19.09,17.27,31.82,2.73,30.0,40.0,20.0,10.0
27335,13.72,18.9,25.28,16.66,5.18,24.4,32.39,33.7,8.34
27336,13.83,24.76,21.34,10.54,4.51,16.12,32.88,37.59,10.12
27337,12.08,20.79,20.22,22.47,6.74,20.69,34.48,34.48,10.34
27338,12.91,19.44,24.04,16.91,6.23,24.56,36.84,33.33,5.26
27339,14.56,20.11,24.82,13.63,6.59,22.59,29.99,38.03,6.24
27340,12.36,23.53,19.96,16.95,3.37,13.14,39.99,46.87,0.0
27341,8.7,15.94,21.74,31.88,1.45,16.67,50.0,16.67,0.0
27342,17.07,20.0,26.83,13.66,4.39,27.78,27.78,38.89,5.56
27343,11.17,17.11,24.38,23.52,5.55,22.43,38.32,36.45,0.0
27345,8.13,9.09,21.05,34.45,13.4,33.33,47.62,14.29,4.76
27346,13.62,22.13,19.15,19.15,2.13,22.22,27.78,44.44,5.56
27347,12.47,21.85,18.38,15.68,8.74,22.58,30.65,29.03,14.52
27348,16.79,22.08,19.92,16.1,5.43,21.95,30.91,37.56,7.41
27349,12.89,24.16,19.51,16.96,4.07,18.75,35.94,35.94,9.38
27350,14.13,18.21,19.94,16.12,7.61,29.43,26.37,29.75,10.53
27351,14.84,17.95,22.3,18.86,8.38,26.86,35.12,27.83,9.34
27353,15.12,19.33,27.89,12.52,4.79,16.4,34.26,46.22,3.13
27354,16.97,16.17,23.5,22.84,5.51,23.61,44.88,23.55,7.97
27355,15.87,18.5,20.08,16.21,8.78,39.51,23.46,25.51,9.88
27358,13.57,18.91,22.97,20.3,4.78,22.29,38.7,34.92,4.1
27359,14.96,13.61,22.34,18.39,12.27,29.41,35.29,23.53,5.88
27360,15.26,21.37,20.85,14.14,4.0,13.14,39.25,43.27,4.34
27361,14.18,23.29,18.99,14.43,2.53,20.69,24.14,41.38,13.79
27363,17.19,19.0,19.91,17.19,1.81,12.5,43.75,43.75,0.0
27364,16.34,14.85,32.18,17.33,4.46,18.75,37.5,43.75,0.0
27365,19.93,19.46,19.33,15.9,5.31,33.78,25.04,27.56,10.77
27366,16.99,17.48,23.3,15.05,5.34,18.75,31.25,31.25,18.75
27367,15.23,14.26,20.13,20.81,9.79,30.47,32.03,28.13,7.81
27368,13.84,21.53,21.56,14.48,4.01,24.05,20.02,43.93,12.0
27369,19.48,11.69,24.68,20.78,9.09,33.33,33.33,16.67,16.67
27370,14.11,18.81,22.88,19.75,8.15,36.67,33.33,23.33,6.67
27371,10.69,22.64,20.13,22.01,6.92,25.0,43.75,31.25,0.0
27372,16.13,20.82,21.11,15.1,3.67,21.15,23.08,34.62,19.23
27373,11.43,10.48,28.57,20.95,12.38,45.45,27.27,27.27,0.0
27374,11.95,19.41,21.23,18.1,8.15,27.52,33.25,32.23,7.0
27375,19.01,19.27,18.26,14.49,8.2,40.2,22.02,22.62,13.92
27376,10.0,22.73,18.18,21.82,5.91,29.41,35.29,35.29,0.0
27377,13.31,13.09,21.13,22.72,12.56,40.58,29.23,22.53,7.65
27378,12.6,17.41,20.56,23.36,9.45,28.0,37.0,30.0,5.0
27379,12.84,22.52,19.82,16.22,6.53,27.78,25.0,38.89,8.33
27380,12.45,22.26,14.72,19.62,5.28,15.0,30.0,45.0,10.0
27381,12.96,24.07,12.35,16.67,7.41,23.08,23.08,38.46,15.38
27382,12.49,20.96,20.15,26.13,0.96,16.31,36.28,35.41,12.0
27383,11.33,18.89,19.39,26.1,4.57,22.53,38.68,32.34,6.45
27384,15.64,15.85,25.19,19.55,8.65,21.84,40.02,35.79,2.35
27385,14.94,19.34,21.3,19.27,5.88,31.82,31.06,30.3,6.82
27386,19.6,22.35,17.88,9.73,5.72,26.34,23.67,30.11,19.89
27388,13.93,16.62,23.13,21.46,7.78,25.64,38.46,33.33,2.56
27389,14.28,23.3,18.9,14.43,4.28,18.2,44.5,37.3,0.0
27390,15.43,21.94,22.39,12.85,3.75,18.82,28.24,40.0,12.94
27391,14.99,20.7,20.58,16.94,5.46,21.49,32.23,35.54,9.09
27392,13.82,18.42,23.68,15.79,9.87,30.77,38.46,15.38,7.69
27393,13.05,26.76,15.47,12.95,4.52,16.51,33.24,44.72,2.77
27394,16.51,11.82,25.07,19.7,9.77,14.29,42.86,34.29,5.71
27395,20.45,12.5,20.45,20.45,10.23,28.57,28.57,28.57,14.29
27396,18.18,18.38,20.34,17.53,3.73,22.7,33.6,40.9,2.8
27397,13.84,18.92,21.14,16.96,6.9,25.74,33.19,30.76,9.62
27398,12.29,14.69,22.69,23.04,10.19,28.05,37.25,24.65,9.27
27399,16.0,24.0,22.0,8.0,8.0,50.0,0.0,50.0,0.0
27400,10.62,15.04,23.89,18.88,11.8,35.48,25.81,22.58,16.13
27401,11.11,17.78,17.22,27.22,10.0,20.0,53.33,26.67,0.0
27403,13.56,13.98,27.12,21.19,7.63,26.32,42.11,31.58,0.0
27404,11.96,16.3,30.43,16.3,10.87,37.5,25.0,37.5,0.0
27405,16.36,10.91,25.45,26.36,12.73,36.36,36.36,27.27,0.0
27406,13.66,15.83,23.53,23.08,7.48,29.14,37.61,28.3,3.69
27407,13.32,21.03,21.05,16.57,4.05,20.46,37.23,38.13,4.18
27408,9.36,19.63,25.26,22.11,4.72,20.84,38.95,29.98,10.23
27410,16.07,21.91,18.22,17.61,4.84,19.45,33.77,44.67,2.11
27411,10.48,19.22,24.02,18.34,8.3,25.0,40.0,25.0,10.0
27412,11.04,22.45,21.45,18.35,5.3,19.69,37.75,38.29,1.73
27413,13.74,19.24,15.59,20.57,10.73,34.4,31.9,19.69,12.62
27414,15.19,15.35,19.45,20.94,10.54,35.44,33.67,23.0,7.89
