CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
01088,16.67,14.97,32.53,13.97,3.79,20.3,36.51,34.8,8.38
01089,13.54,22.68,21.3,13.09,4.39,20.47,29.82,41.52,7.6
01090,12.92,17.13,18.54,22.19,6.74,32.26,35.48,25.81,6.45
01092,14.96,18.58,21.82,16.08,6.73,22.4,28.8,32.8,13.6
01093,15.92,15.4,19.39,17.18,13.13,38.81,27.51,20.51,10.72
01094,12.52,18.71,24.3,16.18,8.04,26.88,29.79,33.95,9.38
01095,15.06,20.18,18.96,15.75,6.26,31.07,28.28,31.67,5.97
01096,15.61,18.44,23.5,15.52,5.08,21.68,33.0,33.94,11.38
01098,14.61,16.99,21.04,17.23,8.79,26.74,32.22,33.51,6.45
01099,13.73,21.39,22.65,15.36,6.17,31.91,26.95,27.66,12.06
01100,8.4,10.69,25.95,23.66,16.03,57.14,21.43,14.29,7.14
01101,11.84,19.74,26.32,18.42,5.26,35.71,35.71,28.57,0.0
01102,12.84,24.08,19.95,14.01,5.69,22.75,31.77,41.52,3.96
01103,15.54,28.71,20.15,8.0,3.44,24.71,27.01,39.66,6.32
01104,17.39,19.37,19.85,16.02,6.47,30.74,25.15,31.59,10.01
01105,16.13,22.09,22.58,12.14,4.43,19.29,32.86,42.86,5.0
01106,15.08,15.64,21.79,11.17,15.08,37.5,18.75,37.5,6.25
01107,10.37,18.52,22.22,24.44,5.19,33.33,33.33,16.67,8.33
01108,12.61,16.0,17.76,20.85,11.59,38.84,31.19,23.38,4.7
01109,16.58,26.37,19.86,9.66,3.32,30.39,17.68,40.88,9.94
01110,14.74,17.95,17.95,27.56,3.85,35.71,7.14,35.71,14.29
01111,10.61,21.21,21.21,18.18,6.82,33.33,33.33,25.0,8.33
01112,16.95,24.77,20.28,11.74,2.78,20.0,22.86,45.71,11.43
01113,14.44,20.81,20.69,15.06,6.24,30.43,30.43,36.23,2.9
01114,11.33,20.33,15.9,16.26,9.21,24.31,33.9,39.57,2.22
01115,17.59,23.04,19.69,13.13,4.32,29.22,26.79,33.92,9.15
01116,6.83,20.48,18.07,20.68,12.25,32.61,32.61,15.22,17.39
01117,7.95,22.52,15.89,15.89,7.95,25.0,33.33,41.67,0.0
01118,12.09,19.02,22.53,17.81,8.12,27.93,28.8,31.57,10.64
01121,17.24,17.24,31.03,13.79,3.45,33.33,22.22,33.33,11.11
01123,12.54,19.33,21.24,16.95,8.5,19.07,36.34,35.26,7.02
01124,13.82,18.8,20.8,17.66,8.69,33.33,31.75,26.98,7.94
01125,13.24,20.42,22.22,16.01,6.86,34.55,30.91,27.27,5.45
01127,9.03,19.24,20.5,22.15,8.12,33.54,28.92,28.66,8.89
01128,13.62,18.94,20.6,16.28,10.3,32.14,28.57,32.14,7.14
01129,8.25,23.1,14.85,21.78,6.93,24.0,36.0,36.0,4.0
01130,14.02,22.74,19.82,14.12,4.85,22.24,28.46,39.41,9.3
01133,12.15,17.22,23.54,23.04,6.58,28.57,40.0,28.57,2.86
01134,13.44,18.64,23.56,19.37,6.43,23.71,35.25,31.12,8.48
01135,14.47,24.25,22.37,12.17,3.11,26.41,28.22,37.14,5.3
01136,16.57,19.48,21.28,15.9,5.94,18.84,34.78,40.58,5.8
01138,14.64,17.73,19.62,17.3,9.08,40.0,27.78,22.96,9.26
01139,11.82,18.42,17.5,19.08,12.95,36.56,34.14,19.54,7.32
01140,15.44,17.25,21.98,16.48,9.48,21.3,36.11,35.81,6.77
01141,14.6,16.88,21.7,19.43,8.1,22.39,28.38,37.81,11.43
01142,17.98,21.02,20.32,13.5,4.78,23.39,28.77,37.25,8.62
01143,12.91,24.23,20.53,12.93,6.19,36.71,24.6,30.04,7.14
01145,14.49,18.64,21.62,20.48,5.53,27.88,30.73,35.28,4.07
01146,16.74,18.58,24.08,15.37,5.5,15.62,37.5,43.75,3.12
01147,13.68,17.85,21.68,18.92,8.34,22.76,37.62,32.12,5.02
01148,15.12,16.92,24.07,19.43,5.77,29.16,30.1,32.64,8.11
01149,14.53,17.18,25.23,17.82,6.22,25.0,33.7,28.26,11.96
01150,14.02,22.43,24.77,14.49,4.67,22.22,27.78,33.33,11.11
01151,13.52,17.47,21.69,19.75,8.87,27.72,31.68,30.69,8.91
01152,11.32,20.02,23.76,16.44,7.9,29.68,28.54,35.67,3.17
01153,11.7,24.54,21.65,12.46,2.93,18.65,26.21,42.14,11.04
01155,9.15,17.61,25.35,23.94,7.04,35.71,42.86,21.43,0.0
01156,13.33,21.1,22.1,14.46,5.31,18.05,36.08,42.59,3.28
01157,14.38,18.17,20.7,19.7,6.33,23.79,34.24,35.05,6.34
01158,15.1,22.51,23.84,9.78,6.27,29.07,23.26,32.56,13.95
01159,14.29,18.16,20.83,19.23,8.29,28.23,34.01,29.93,7.14
01160,17.59,25.83,19.36,12.21,4.85,42.76,21.34,21.35,12.87
01162,16.92,12.31,30.77,12.31,7.69,40.0,20.0,40.0,0.0
01163,14.48,16.96,22.07,18.7,8.33,28.9,36.42,29.48,5.2
01165,11.85,23.64,20.37,15.89,4.41,16.81,33.61,42.86,6.72
01166,16.21,18.53,24.19,16.92,5.44,20.33,30.98,34.9,13.2
01167,13.76,15.75,25.02,20.99,6.45,21.88,33.03,37.31,7.77
01169,15.01,20.74,26.24,14.12,3.9,16.95,39.84,36.97,6.25
01170,14.38,20.65,27.51,10.28,2.99,20.01,21.01,47.17,10.49
01171,15.15,15.59,28.8,18.28,5.18,19.84,40.16,34.15,5.86
01173,21.12,25.97,18.33,9.27,4.0,36.74,26.9,25.85,8.71
01174,13.64,18.75,26.14,14.77,6.82,43.75,12.5,31.25,12.5
01175,14.8,17.73,22.7,18.88,7.14,26.87,35.82,26.87,8.96
01177,12.57,14.21,22.95,23.5,9.84,37.5,25.0,18.75,18.75
01179,12.26,16.67,23.57,20.86,8.33,30.77,33.73,27.22,7.69
01180,12.11,20.55,23.52,16.27,7.01,23.53,29.41,36.76,10.29
