,TYPECOM,COM,REG,DEP,LIBELLE_COM,LIBELLE_DEP,LIBELLE_REG,Code_postal,latitude,longitude
0,COM,01001,84,01,L'Abergement-Clémenciat,Ain,Auvergne-Rhône-Alpes,1400,46.153721024,4.925850148
1,COM,01002,84,01,L'Abergement-de-Varey,Ain,Auvergne-Rhône-Alpes,1640,46.009605679,5.428087796
2,COM,01004,84,01,Ambérieu-en-Bugey,Ain,Auvergne-Rhône-Alpes,1500,45.961048852,5.372275427
3,COM,01005,84,01,Ambérieux-en-Dombes,Ain,Auvergne-Rhône-Alpes,1330,45.99616357,4.911967138
4,COM,01006,84,01,Ambléon,Ain,Auvergne-Rhône-Alpes,1300,45.749886304,5.594584599
5,COM,01007,84,01,Ambronay,Ain,Auvergne-Rhône-Alpes,1500,46.005690539,5.357748739
6,COM,01008,84,01,Ambutrix,Ain,Auvergne-Rhône-Alpes,1500,45.936683389,5.332446671
7,COM,01009,84,01,Andert-et-Condon,Ain,Auvergne-Rhône-Alpes,1300,45.787194157,5.657799976
8,COM,01010,84,01,Anglefort,Ain,Auvergne-Rhône-Alpes,1350,45.909091467,5.795056945
9,COM,01011,84,01,Apremont,Ain,Auvergne-Rhône-Alpes,1100,46.205877513,5.657980818
10,COM,01012,84,01,Aranc,Ain,Auvergne-Rhône-Alpes,1110,46.001293319,5.510946399
11,COM,01013,84,01,Arandas,Ain,Auvergne-Rhône-Alpes,1230,45.890233979,5.498924738
12,COM,01014,84,01,Arbent,Ain,Auvergne-Rhône-Alpes,1100,46.283607621,5.690755574
13,COM,01015,84,01,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes,1300,45.712796712,5.64167722
14,COM,01015,84,01,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes,1300,45.712796712,5.64167722
15,COMD,01015,,,Arbignieu,,,1300,45.712796712,5.64167722
16,COMD,01015,,,Arbignieu,,,1300,45.712796712,5.64167722
17,COM,01016,84,01,Arbigny,Ain,Auvergne-Rhône-Alpes,1190,46.477598582,4.960100975
18,COM,01017,84,01,Argis,Ain,Auvergne-Rhône-Alpes,1230,45.933504727,5.482593252
19,COM,01019,84,01,Armix,Ain,Auvergne-Rhône-Alpes,1510,45.854492231,5.583031315
20,COM,01021,84,01,Ars-sur-Formans,Ain,Auvergne-Rhône-Alpes,1480,45.993537592,4.821960428
21,COM,01022,84,01,Artemare,Ain,Auvergne-Rhône-Alpes,1510,45.869624164,5.690088298
22,COM,01023,84,01,Asnières-sur-Saône,Ain,Auvergne-Rhône-Alpes,1570,46.385206065,4.883700297
23,COM,01024,84,01,Attignat,Ain,Auvergne-Rhône-Alpes,1340,46.286061273,5.179817579
24,COM,01025,84,01,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes,1380,46.327468413,4.966993244
25,COM,01025,84,01,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes,1380,46.327468413,4.966993244
26,COMD,01025,,,Bâgé-la-Ville,,,1380,46.327468413,4.966993244
27,COMD,01025,,,Bâgé-la-Ville,,,1380,46.327468413,4.966993244
28,COM,01026,84,01,Bâgé-le-Châtel,Ain,Auvergne-Rhône-Alpes,1380,46.308270333,4.929845282
29,COM,01027,84,01,Balan,Ain,Auvergne-Rhône-Alpes,1360,45.830979009,5.108003865
30,COM,01028,84,01,Baneins,Ain,Auvergne-Rhône-Alpes,1990,46.114061723,4.901684997
31,COM,01029,84,01,Beaupont,Ain,Auvergne-Rhône-Alpes,1270,46.428649695,5.260337095
32,COM,01030,84,01,Beauregard,Ain,Auvergne-Rhône-Alpes,1480,46.000721971,4.756657208
33,COM,01031,84,01,Bellignat,Ain,Auvergne-Rhône-Alpes,1100,46.238150086,5.635913808
34,COM,01032,84,01,Béligneux,Ain,Auvergne-Rhône-Alpes,1360,45.859311798,5.140369014
35,COM,01032,84,01,Béligneux,Ain,Auvergne-Rhône-Alpes,1360,45.859311798,5.140369014
36,COM,01032,84,01,Béligneux,Ain,Auvergne-Rhône-Alpes,1360,45.859311798,5.140369014
37,COM,01032,84,01,Béligneux,Ain,Auvergne-Rhône-Alpes,1360,45.859311798,5.140369014
38,COM,01033,84,01,Valserhône,Ain,Auvergne-Rhône-Alpes,1200,46.124111549,5.796482369
39,COM,01033,84,01,Valserhône,Ain,Auvergne-Rhône-Alpes,1200,46.124111549,5.796482369
40,COM,01033,84,01,Valserhône,Ain,Auvergne-Rhône-Alpes,1200,46.124111549,5.796482369
41,COM,01033,84,01,Valserhône,Ain,Auvergne-Rhône-Alpes,1200,46.124111549,5.796482369
42,COM,01033,84,01,Valserhône,Ain,Auvergne-Rhône-Alpes,1200,46.124111549,5.796482369
43,COMD,01033,,,Bellegarde-sur-Valserine,,,1200,46.124111549,5.796482369
44,COMD,01033,,,Bellegarde-sur-Valserine,,,1200,46.124111549,5.796482369
