CODGEO,y_predict_lille
59009,18.148326608628103
59011,11.992166922173752
59017,18.311373451807054
59043,11.456339449151502
59044,6.927099617912434
59051,16.780704214169116
59052,11.813978979736973
59090,8.300413191397809
59098,7.768495669491494
59143,11.331180133958147
59152,12.548379869473637
59158,6.632794606567316
59163,13.758941633550021
59168,7.392247344017454
59202,8.929828081502883
59212,11.39934397724757
59220,12.685493086985792
59227,17.85304647338884
59239,8.349179811704868
59256,6.797469263443828
59262,11.3251946563216
59266,6.857490142841122
59268,11.287519768986396
59278,9.437534153485537
59279,12.935706904549239
59286,13.855520519530026
59299,15.619400907616487
59316,8.869666874332248
59317,11.992166922173752
59328,9.034431894827346
59339,10.003091725076548
59343,7.170783640005174
59350,21.579226203683962
59352,9.496320779843193
59360,19.75051816710197
59367,12.973263756656609
59368,13.154460935053574
59375,9.975947477479503
59378,9.034431894827346
59386,10.003091725076548
59401,9.136702713854252
59410,21.141734697903626
59421,9.338187237261927
59426,7.937653673139884
59431,11.287519768986396
59449,11.936270493210898
59452,19.452726775176544
59457,11.287519768986396
59462,9.064326931312406
59477,10.331893047853178
59482,9.8854548026361
59489,11.940224774216654
59507,14.388308138516638
59508,9.116038343515342
59512,32.16451709507471
59524,7.848834569085324
59526,17.37788015614725
59527,10.991848800485513
59550,9.914399677434172
59553,6.967529807205777
59560,13.592093804278216
59566,8.173654889413456
59581,9.825293595465466
59585,7.8513560722635845
59586,6.604760312287677
59592,11.041889862665144
59598,6.734386311850785
59599,22.39428328962301
59630,13.555952841548997
59636,9.099063304525817
59646,10.526185336770522
59648,15.539473306727123
59650,20.033214759853433
59653,9.852457124162312
59656,11.122348328218754
59660,9.003879190812901
62051,13.750813908366105
62132,10.329229657344479
62215,17.309138318989838
62249,17.753020303123037
62252,7.580712660927911
62276,10.381171805301577
62321,15.587559008014855
62401,12.34916411309394
62491,8.36306437536829
62497,14.409069211332778
62502,8.089332881188655
62573,11.932005715003116
62637,20.761288269562698
62666,20.01012673338999
62706,7.970640812289783
62736,7.909029841901675
62863,8.533314464859586
62907,25.259696263090806
