,CODGEO,TP6020
10833,2B256,
10834,2B257,
10835,2B260,
10836,2B261,
10837,2B263,
10838,2B264,
10839,2B265,
10840,2B267,
10841,2B273,
10842,2B274,
10843,2B275,
10844,2B277,
10845,2B280,
10846,2B281,
10847,2B283,
10848,2B286,
10849,2B287,
10850,2B289,
10851,2B290,
10852,2B291,
10853,2B292,
10854,2B293,
10855,2B296,
10856,2B297,
10857,2B298,
10858,2B299,
10859,2B301,
10860,2B302,
10861,2B303,
10862,2B304,
10863,2B305,14.0
10864,2B306,
10865,2B307,
10866,2B309,
10867,2B311,
10868,2B313,
10869,2B314,
10870,2B315,
10871,2B316,
10872,2B317,
10873,2B318,
10874,2B319,
10875,2B320,
10876,2B321,
10877,2B327,
10878,2B328,
10879,2B329,
10880,2B332,
10881,2B333,
10882,2B334,
10883,2B335,
10884,2B337,
10885,2B338,
10886,2B339,
10887,2B340,
10888,2B341,
10889,2B342,11.0
10890,2B343,
10891,2B344,
10892,2B346,22.0
10893,2B347,
10894,2B350,
10895,2B352,
10896,2B353,10.0
10897,2B354,
10898,2B355,
10899,2B356,
10900,2B361,
10901,2B364,
10902,2B365,
10903,2B366,
10904,30001,
10905,30002,
10906,30003,13.0
10907,30004,10.0
10908,30005,
10909,30006,13.0
10910,30007,28.0
10911,30008,
10912,30009,
10913,30010,23.0
10914,30011,10.0
10915,30012,15.0
10916,30013,
10917,30014,
10918,30015,
10919,30016,
10920,30017,
10921,30018,
10922,30019,8.0
10923,30020,9.0
10924,30021,
10925,30022,
10926,30023,
10927,30024,
10928,30025,
10929,30026,
10930,30027,13.0
10931,30028,27.0
10932,30029,
10933,30030,
10934,30031,
10935,30032,29.0
10936,30033,11.0
10937,30034,15.0
10938,30035,
10939,30036,11.0
10940,30037,35.0
10941,30038,
10942,30039,12.0
10943,30040,
10944,30041,
10945,30042,13.0
10946,30043,
10947,30044,
10948,30045,
10949,30046,
10950,30047,11.0
10951,30048,
10952,30049,
10953,30050,
10954,30051,
10955,30052,
10956,30053,
10957,30054,
10958,30055,
10959,30056,
10960,30057,
10961,30058,
10962,30059,10.0
10963,30060,9.0
10964,30061,16.0
10965,30062,11.0
10966,30064,
10967,30065,
10968,30066,
10969,30067,
10970,30068,
10971,30069,
10972,30070,
10973,30071,
10974,30072,
10975,30073,
10976,30074,
10977,30075,9.0
10978,30076,
10979,30077,
10980,30079,
10981,30080,
10982,30081,
10983,30082,9.0
10984,30083,8.0
10985,30084,
10986,30085,
10987,30086,
10988,30087,
10989,30088,
10990,30089,
10991,30090,
10992,30091,
10993,30092,
10994,30093,
10995,30094,
10996,30095,
10997,30096,
10998,30097,
10999,30098,
11000,30099,
11001,30100,
11002,30101,
11003,30102,
11004,30103,
11005,30104,
11006,30105,
11007,30106,
11008,30107,
11009,30108,
11010,30109,
11011,30110,
11012,30111,
11013,30112,
11014,30113,
11015,30114,
11016,30115,
11017,30116,
11018,30117,11.0
11019,30119,
11020,30120,
11021,30121,
11022,30122,
11023,30123,10.0
11024,30124,
11025,30125,14.0
11026,30126,
11027,30127,
11028,30128,11.0
11029,30129,
11030,30130,
11031,30131,
11032,30132,39.0
11033,30133,17.0
11034,30134,
11035,30135,18.0
11036,30136,
11037,30137,
11038,30138,
11039,30139,
11040,30140,
11041,30141,13.0
11042,30142,
11043,30143,
11044,30144,
11045,30145,
11046,30146,
11047,30147,
11048,30148,
11049,30149,
11050,30150,
11051,30151,
11052,30152,16.0
11053,30153,
11054,30154,
11055,30155,13.0
11056,30156,12.0
11057,30158,
11058,30159,
11059,30160,
11060,30161,
11061,30162,
11062,30163,
11063,30164,
11064,30165,
11065,30166,13.0
11066,30167,
11067,30168,
11068,30169,16.0
11069,30170,
11070,30171,
11071,30172,
11072,30173,
11073,30174,
11074,30175,
11075,30176,
11076,30177,
11077,30178,
11078,30179,17.0
11079,30180,
11080,30181,
11081,30182,
11082,30183,
11083,30184,
11084,30185,
11085,30186,
11086,30187,
11087,30188,
11088,30189,29.0
11089,30191,
11090,30192,
11091,30193,
11092,30194,
11093,30195,
11094,30196,
11095,30197,
11096,30198,
11097,30199,
11098,30200,
11099,30201,
11100,30202,22.0
11101,30203,
11102,30204,
11103,30205,
11104,30206,6.0
11105,30207,
11106,30208,
11107,30209,8.0
11108,30210,18.0
11109,30211,15.0
11110,30212,22.0
11111,30213,
11112,30214,19.0
11113,30215,
11114,30216,
11115,30217,10.0
11116,30218,
11117,30219,
11118,30220,
11119,30221,19.0
11120,30222,
11121,30223,13.0
11122,30224,
11123,30225,
11124,30226,
11125,30227,29.0
11126,30228,
11127,30229,
11128,30230,
11129,30231,
11130,30232,
11131,30233,
11132,30234,
11133,30235,
11134,30236,
11135,30237,
11136,30238,
11137,30239,
11138,30240,
11139,30241,
11140,30242,
11141,30243,18.0
11142,30244,
11143,30245,
11144,30246,
11145,30247,
11146,30248,
11147,30249,
11148,30250,
11149,30251,
11150,30252,
11151,30253,
11152,30254,
11153,30255,19.0
11154,30256,
11155,30257,
11156,30258,28.0
11157,30259,14.0
11158,30260,
11159,30261,
11160,30262,
11161,30263,23.0
11162,30264,
11163,30265,
11164,30266,
11165,30267,
11166,30268,
11167,30269,25.0
11168,30270,
11169,30271,
11170,30272,
11171,30273,
11172,30274,12.0
11173,30275,
11174,30276,14.0
11175,30277,
11176,30278,9.0
11177,30279,
11178,30280,
11179,30281,
11180,30282,
11181,30283,
11182,30284,22.0
11183,30285,
11184,30286,
11185,30287,
11186,30288,
11187,30289,
11188,30290,
11189,30291,
11190,30292,
11191,30293,
11192,30294,11.0
11193,30295,15.0
11194,30296,
11195,30297,
11196,30298,
11197,30299,
11198,30300,
11199,30301,
11200,30302,
11201,30303,
11202,30304,
11203,30305,19.0
11204,30306,
11205,30307,31.0
11206,30308,
11207,30309,
11208,30310,
11209,30311,
11210,30312,
11211,30313,
11212,30314,
11213,30315,
11214,30316,
11215,30317,
11216,30318,
11217,30319,
11218,30320,
11219,30321,24.0
11220,30322,
11221,30323,
11222,30324,
11223,30325,
11224,30326,
11225,30327,
11226,30328,
11227,30329,
11228,30330,
11229,30331,
11230,30332,
11231,30333,15.0
11232,30334,22.0
11233,30335,
11234,30336,
11235,30337,
11236,30338,
11237,30339,
11238,30340,
11239,30341,22.0
11240,30342,
11241,30343,
11242,30344,10.0
11243,30345,
11244,30346,
11245,30347,
11246,30348,
11247,30349,
11248,30350,29.0
11249,30351,11.0
11250,30352,
11251,30353,
11252,30354,
11253,30355,
11254,30356,12.0
11255,31001,
11256,31002,
11257,31003,
11258,31004,
11259,31005,
11260,31006,
11261,31007,
11262,31008,
11263,31009,
11264,31010,
11265,31011,
11266,31012,
11267,31013,
11268,31014,
11269,31015,
11270,31017,
11271,31018,
11272,31019,
11273,31020,
11274,31021,
11275,31022,11.0
11276,31023,
11277,31024,
11278,31025,
11279,31026,
11280,31027,
11281,31028,
11282,31029,
11283,31030,
11284,31031,
11285,31032,8.0
11286,31033,14.0
11287,31034,
11288,31035,10.0
11289,31036,
11290,31037,
11291,31038,
11292,31039,
11293,31040,
11294,31041,
11295,31042,17.0
11296,31043,
11297,31044,8.0
11298,31045,
11299,31046,
11300,31047,
11301,31048,8.0
11302,31049,
11303,31050,
11304,31051,
11305,31052,
11306,31053,
11307,31054,
11308,31055,
11309,31056,11.0
11310,31057,
11311,31058,
11312,31059,
11313,31060,
11314,31061,
11315,31062,
11316,31063,
11317,31064,
11318,31065,8.0
11319,31066,9.0
11320,31067,
11321,31068,
11322,31069,13.0
11323,31070,
11324,31071,
11325,31072,
11326,31073,
11327,31074,
11328,31075,
11329,31076,
11330,31077,
11331,31078,
11332,31079,8.0
11333,31080,
11334,31081,
11335,31082,
11336,31083,
11337,31084,
11338,31085,
11339,31086,
11340,31087,
11341,31088,
11342,31089,
11343,31090,
11344,31091,8.0
11345,31092,
11346,31093,
11347,31094,7.0
11348,31095,
11349,31096,
11350,31097,
11351,31098,
11352,31099,
11353,31100,10.0
11354,31101,
11355,31102,
11356,31103,
11357,31104,
11358,31105,
11359,31106,9.0
11360,31107,14.0
11361,31108,
11362,31109,
11363,31110,
11364,31111,
11365,31112,
11366,31113,11.0
11367,31114,
11368,31115,
11369,31116,10.0
11370,31117,5.0
11371,31118,7.0
11372,31119,
11373,31120,
11374,31121,
11375,31122,
11376,31123,
11377,31124,
11378,31125,
11379,31126,
11380,31127,
11381,31128,
11382,31129,
11383,31130,
11384,31131,
11385,31132,
11386,31133,
11387,31134,
11388,31135,20.0
11389,31136,
11390,31137,
11391,31138,
11392,31139,
11393,31140,
11394,31141,
11395,31142,
11396,31143,
11397,31144,
11398,31145,12.0
11399,31146,
11400,31147,
11401,31148,
11402,31149,15.0
11403,31150,9.0
11404,31151,
11405,31152,
11406,31153,
11407,31155,
11408,31156,
11409,31157,13.0
11410,31158,
11411,31159,
11412,31160,
11413,31161,
11414,31162,
11415,31163,
11416,31164,
11417,31165,9.0
11418,31166,
11419,31167,
11420,31168,
11421,31169,8.0
11422,31170,
11423,31171,
11424,31172,
11425,31173,
11426,31174,
11427,31175,
11428,31176,
11429,31177,
11430,31178,
11431,31179,
11432,31180,
11433,31181,
11434,31182,13.0
11435,31183,
11436,31184,
11437,31185,
11438,31186,8.0
11439,31187,8.0
11440,31188,6.0
11441,31189,
11442,31190,
11443,31191,
11444,31192,
11445,31193,
11446,31194,
11447,31195,
11448,31196,
11449,31197,
11450,31198,
11451,31199,
11452,31200,
11453,31201,
11454,31202,9.0
11455,31203,9.0
11456,31204,
11457,31205,9.0
11458,31206,
11459,31207,
11460,31208,
11461,31209,
11462,31210,
11463,31211,
11464,31212,
11465,31213,
11466,31215,
11467,31216,
11468,31217,
11469,31218,
11470,31219,
11471,31220,
11472,31221,
11473,31222,
11474,31223,
11475,31224,
11476,31225,
11477,31226,
11478,31227,
11479,31228,
11480,31229,
11481,31230,8.0
11482,31231,
11483,31232,11.0
11484,31233,
11485,31234,
11486,31235,
11487,31236,
11488,31237,
11489,31238,
11490,31239,
11491,31240,
11492,31241,
11493,31242,
11494,31243,
11495,31244,
11496,31245,
11497,31246,
11498,31247,
11499,31248,10.0
11500,31249,
11501,31250,
11502,31251,
11503,31252,
11504,31253,7.0
11505,31254,10.0
11506,31255,
11507,31256,
11508,31258,
11509,31259,
11510,31260,
11511,31261,
11512,31262,
11513,31263,8.0
11514,31264,
11515,31265,
11516,31266,
11517,31267,
11518,31268,
11519,31269,
11520,31270,
11521,31271,
11522,31272,
11523,31273,
11524,31274,
11525,31275,
11526,31276,
11527,31277,
11528,31278,
11529,31279,
11530,31280,
11531,31281,
11532,31282,12.0
11533,31283,
11534,31284,
11535,31285,
11536,31286,
11537,31287,6.0
11538,31288,
11539,31289,
11540,31290,
11541,31291,7.0
11542,31292,
11543,31293,7.0
11544,31294,
11545,31295,
11546,31296,
11547,31297,
11548,31299,8.0
11549,31300,
11550,31301,
11551,31302,
11552,31303,9.0
11553,31304,
11554,31305,
11555,31306,
11556,31308,
11557,31309,
11558,31310,
11559,31311,
11560,31312,
11561,31313,
11562,31314,
11563,31315,
11564,31316,
11565,31317,
11566,31318,
11567,31319,
11568,31320,
11569,31321,
11570,31322,
11571,31323,
11572,31324,15.0
11573,31325,
11574,31326,
11575,31327,
11576,31328,
11577,31329,
11578,31330,
11579,31331,
11580,31332,
11581,31333,
11582,31334,
11583,31335,
11584,31336,
11585,31337,
11586,31338,
11587,31339,
11588,31340,
11589,31341,10.0
11590,31342,
11591,31343,
11592,31344,
11593,31345,8.0
11594,31346,
11595,31347,
11596,31348,
11597,31349,
11598,31350,
11599,31351,10.0
11600,31352,
11601,31353,
11602,31354,
11603,31355,
11604,31356,
11605,31357,
11606,31358,7.0
11607,31359,
11608,31360,
11609,31361,
11610,31362,
11611,31363,
11612,31364,
11613,31365,
11614,31366,
11615,31367,
11616,31368,
11617,31369,
11618,31370,
11619,31371,
11620,31372,
11621,31373,
11622,31374,
11623,31375,15.0
11624,31376,
11625,31377,
11626,31378,
11627,31379,
11628,31380,
11629,31381,
11630,31382,
11631,31383,
11632,31384,
11633,31385,
11634,31386,
11635,31387,
11636,31388,
11637,31389,5.0
11638,31390,28.0
11639,31391,
11640,31392,
11641,31393,
11642,31394,
11643,31395,16.0
11644,31396,10.0
11645,31397,
11646,31398,
11647,31399,11.0
11648,31400,
11649,31401,
11650,31402,
11651,31403,
11652,31404,
11653,31405,
11654,31406,
11655,31407,
11656,31408,
11657,31409,
11658,31410,6.0
11659,31411,
11660,31412,
11661,31413,
11662,31414,
11663,31415,
11664,31416,
11665,31417,6.0
11666,31418,
11667,31419,
11668,31420,7.0
11669,31421,8.0
11670,31422,
11671,31423,
11672,31424,10.0
11673,31425,
11674,31426,
11675,31427,
11676,31428,
11677,31429,
11678,31430,
11679,31431,
11680,31432,
11681,31433,12.0
11682,31434,
11683,31435,
11684,31436,
11685,31437,
11686,31439,
11687,31440,
11688,31441,
11689,31442,
11690,31443,
11691,31444,
11692,31445,5.0
11693,31446,14.0
11694,31447,
11695,31448,
11696,31449,
11697,31450,
11698,31451,17.0
11699,31452,
11700,31453,
11701,31454,13.0
11702,31455,12.0
11703,31456,
11704,31457,
11705,31458,10.0
11706,31459,
11707,31460,6.0
11708,31461,
11709,31462,
11710,31463,
11711,31464,
11712,31465,
11713,31466,
11714,31467,11.0
11715,31468,
11716,31469,
11717,31470,
11718,31471,
11719,31472,
11720,31473,
11721,31474,
11722,31475,
11723,31476,
11724,31477,
11725,31478,
11726,31479,
11727,31480,
11728,31481,
11729,31482,
11730,31483,22.0
11731,31484,
11732,31485,
11733,31486,
11734,31487,
11735,31488,8.0
11736,31489,
11737,31490,13.0
11738,31491,
11739,31492,
11740,31493,
11741,31494,
11742,31495,
11743,31496,
11744,31497,
11745,31498,
11746,31499,9.0
11747,31500,
11748,31501,
11749,31502,
11750,31503,
11751,31504,
11752,31505,
11753,31506,9.0
11754,31507,
11755,31508,
11756,31509,
11757,31510,
11758,31511,
11759,31512,
11760,31513,
11761,31514,
11762,31515,
11763,31516,
11764,31517,13.0
11765,31518,
11766,31519,
11767,31520,
11768,31521,
11769,31522,
11770,31523,
11771,31524,
11772,31525,
11773,31526,7.0
11774,31527,
11775,31528,
11776,31529,
11777,31530,
11778,31531,
11779,31532,
11780,31533,
11781,31534,
11782,31535,
11783,31536,
11784,31537,
11785,31538,
11786,31539,
11787,31540,
11788,31541,
11789,31542,
11790,31543,
11791,31544,
11792,31545,
11793,31546,
11794,31547,11.0
11795,31548,
11796,31549,
11797,31550,
11798,31551,
11799,31552,
11800,31553,
11801,31554,
11802,31555,20.0
11803,31556,
11804,31557,8.0
11805,31558,
11806,31559,
11807,31560,
11808,31561,7.0
11809,31562,
11810,31563,
11811,31564,
11812,31565,
11813,31566,
11814,31567,
11815,31568,
11816,31569,
11817,31570,
11818,31571,
11819,31572,7.0
11820,31573,7.0
11821,31574,8.0
11822,31575,
11823,31576,
11824,31577,
11825,31578,
11826,31579,
11827,31580,
11828,31581,
11829,31582,10.0
11830,31583,
11831,31584,14.0
11832,31585,
11833,31586,
11834,31587,
11835,31588,12.0
11836,31589,
11837,31590,
11838,31591,
11839,31592,
11840,31593,
11841,32001,
11842,32002,
11843,32003,
11844,32004,
11845,32005,
11846,32007,
11847,32008,
11848,32009,
11849,32010,
11850,32012,
11851,32013,18.0
11852,32014,
11853,32015,
11854,32016,
11855,32017,
11856,32018,
11857,32019,
11858,32020,
11859,32021,
11860,32022,
11861,32023,
11862,32024,
11863,32025,
11864,32026,
11865,32027,
11866,32028,
11867,32029,
11868,32030,
11869,32031,
11870,32032,
11871,32033,
11872,32034,
11873,32035,
11874,32036,
11875,32037,
11876,32038,
11877,32039,
11878,32040,
11879,32041,
11880,32042,
11881,32043,
11882,32044,
11883,32045,
11884,32046,
11885,32047,
11886,32048,
11887,32049,
11888,32050,
11889,32051,
11890,32052,
11891,32053,
11892,32054,
11893,32055,
11894,32056,
11895,32057,
11896,32058,
11897,32059,
11898,32060,
11899,32061,
11900,32062,
11901,32063,
11902,32064,
11903,32065,
11904,32066,
11905,32067,
11906,32068,
11907,32069,
11908,32070,
11909,32071,
11910,32072,
11911,32073,
11912,32075,
11913,32076,
11914,32077,
11915,32078,
11916,32079,
11917,32080,
11918,32081,
11919,32082,
11920,32083,
11921,32084,
11922,32085,
11923,32086,
11924,32087,
11925,32088,
11926,32089,
11927,32090,
11928,32091,
11929,32092,
11930,32093,
11931,32094,
11932,32095,
11933,32096,
11934,32097,
11935,32098,
11936,32099,
11937,32100,
11938,32101,
11939,32102,
11940,32103,
11941,32104,
11942,32105,
11943,32106,
11944,32107,22.0
11945,32108,
11946,32109,
11947,32110,
11948,32111,
11949,32112,
11950,32113,
11951,32114,
11952,32115,
11953,32116,
11954,32117,
11955,32118,
11956,32119,21.0
11957,32120,
11958,32121,
11959,32122,
11960,32123,
11961,32124,
11962,32125,
11963,32126,
11964,32127,
11965,32128,
11966,32129,
11967,32130,
11968,32131,
11969,32132,16.0
11970,32133,
11971,32134,
11972,32135,
11973,32136,
11974,32138,
11975,32139,
11976,32140,
11977,32141,
11978,32142,
11979,32143,
11980,32144,
11981,32145,
11982,32146,
11983,32147,13.0
11984,32148,
11985,32149,
11986,32150,
11987,32151,
11988,32152,
11989,32153,
11990,32154,
11991,32155,
11992,32156,
11993,32157,
11994,32158,
11995,32159,
11996,32160,8.0
11997,32161,
11998,32162,
11999,32163,
12000,32164,
12001,32165,
12002,32166,
12003,32167,
12004,32169,
12005,32170,
12006,32171,
12007,32172,
12008,32173,
12009,32174,
12010,32175,
12011,32176,
12012,32177,
12013,32178,
12014,32180,
12015,32181,
12016,32182,
12017,32183,
12018,32184,
12019,32185,
12020,32186,
12021,32187,
12022,32188,
12023,32189,
12024,32190,
12025,32191,
12026,32192,
12027,32193,
12028,32194,
12029,32195,
12030,32196,
12031,32197,
12032,32198,
12033,32199,
12034,32200,
12035,32201,
12036,32202,
12037,32203,
12038,32204,
12039,32205,
12040,32206,
12041,32207,
12042,32208,18.0
12043,32209,
12044,32210,
12045,32211,
12046,32212,
12047,32213,13.0
12048,32214,
12049,32215,
12050,32216,
12051,32217,
12052,32218,
12053,32219,
12054,32220,
12055,32221,
12056,32222,
12057,32223,
12058,32224,
12059,32225,
12060,32226,
12061,32227,
12062,32228,
12063,32229,
12064,32230,
12065,32231,
12066,32232,
12067,32233,
12068,32234,
12069,32235,
12070,32236,
12071,32237,
12072,32238,
12073,32239,
12074,32240,
12075,32241,
12076,32242,
12077,32243,
12078,32244,
12079,32245,
12080,32246,
12081,32247,
12082,32248,
12083,32249,15.0
12084,32250,
12085,32251,
12086,32252,
12087,32253,
12088,32254,
12089,32255,
12090,32256,19.0
12091,32257,
12092,32258,
12093,32260,
12094,32261,
12095,32262,
12096,32263,
12097,32264,
12098,32265,
12099,32266,
12100,32267,
12101,32268,
12102,32269,
12103,32270,
12104,32271,
12105,32272,
12106,32273,
12107,32274,
12108,32275,
12109,32276,
12110,32277,
12111,32278,
12112,32279,
12113,32280,
12114,32281,
12115,32282,
12116,32283,
12117,32284,
12118,32285,
12119,32286,
12120,32287,
12121,32288,
12122,32289,
12123,32290,
12124,32291,
12125,32292,
12126,32293,
12127,32294,
12128,32295,
12129,32296,
12130,32297,
12131,32298,
12132,32299,
12133,32300,
12134,32301,
12135,32302,
12136,32303,
12137,32304,
12138,32305,
12139,32306,
12140,32307,8.0
12141,32308,
12142,32309,
12143,32310,
12144,32311,
12145,32312,
12146,32313,
12147,32314,
12148,32315,
12149,32316,
12150,32317,
12151,32318,
12152,32319,
12153,32320,
12154,32321,
12155,32322,
12156,32323,
12157,32324,
12158,32325,
12159,32326,
12160,32327,
12161,32328,
12162,32329,
12163,32330,
12164,32331,
12165,32332,
12166,32333,
12167,32334,
12168,32335,
12169,32336,
12170,32337,
12171,32338,
12172,32339,
12173,32340,
12174,32341,
12175,32342,
12176,32343,
12177,32344,
12178,32345,
12179,32346,
12180,32347,
12181,32348,
12182,32349,
12183,32350,
12184,32351,
12185,32352,
12186,32353,
12187,32354,
12188,32355,
12189,32356,
12190,32357,
12191,32358,
12192,32359,
12193,32360,
12194,32361,
12195,32362,
12196,32363,
12197,32364,
12198,32365,
12199,32366,
12200,32367,
12201,32368,
12202,32369,
12203,32370,
12204,32371,
12205,32372,
12206,32373,
12207,32374,
12208,32375,
12209,32376,
12210,32377,
12211,32378,
12212,32379,
12213,32380,
12214,32381,
12215,32382,
12216,32383,
12217,32384,
12218,32385,
12219,32386,
12220,32387,
12221,32388,
12222,32389,
12223,32390,
12224,32391,
12225,32392,
12226,32393,
12227,32394,
12228,32395,
12229,32396,
12230,32397,
12231,32398,
12232,32399,
12233,32400,
12234,32401,
12235,32402,
12236,32403,
12237,32404,
12238,32405,
12239,32406,
12240,32407,
12241,32408,
12242,32409,
12243,32410,10.0
12244,32411,
12245,32412,
12246,32413,
12247,32414,
12248,32415,
12249,32416,
12250,32417,
12251,32418,
12252,32419,
12253,32420,
12254,32421,
12255,32422,
12256,32423,
12257,32424,
12258,32425,
12259,32426,
12260,32427,
12261,32428,
12262,32429,
12263,32430,
12264,32431,
12265,32432,
12266,32433,
12267,32434,
12268,32435,
12269,32436,
12270,32437,
12271,32438,
12272,32439,
12273,32440,
12274,32441,
12275,32442,
12276,32443,
12277,32444,
12278,32445,
12279,32446,
12280,32447,
12281,32448,
12282,32449,
12283,32450,
12284,32451,
12285,32452,
12286,32453,
12287,32454,
12288,32455,
12289,32456,
12290,32457,
12291,32458,
12292,32459,
12293,32460,
12294,32461,
12295,32462,18.0
12296,32463,
12297,32464,
12298,32465,
12299,32466,
12300,32467,
12301,32468,
12302,33001,
12303,33002,
12304,33003,15.0
12305,33004,16.0
12306,33005,7.0
12307,33006,
12308,33007,
12309,33008,
12310,33009,12.0
12311,33010,
12312,33011,9.0
12313,33012,
12314,33013,12.0
12315,33014,
12316,33015,
12317,33016,
12318,33017,
12319,33018,8.0
12320,33019,8.0
12321,33020,
12322,33021,
12323,33022,
12324,33023,
12325,33024,
12326,33025,
12327,33026,
12328,33027,
12329,33028,
12330,33029,5.0
12331,33030,13.0
12332,33031,
12333,33032,15.0
12334,33033,
12335,33034,
12336,33035,
12337,33036,15.0
12338,33037,
12339,33038,
12340,33039,13.0
12341,33040,
12342,33042,8.0
12343,33043,
12344,33044,
12345,33045,
12346,33046,
12347,33047,
12348,33048,
12349,33049,
12350,33050,
12351,33051,8.0
12352,33052,
12353,33053,
12354,33054,
12355,33055,
12356,33056,10.0
12357,33057,
12358,33058,23.0
12359,33059,
12360,33060,
12361,33061,
12362,33062,
12363,33063,17.0
12364,33064,
12365,33065,
12366,33066,
12367,33067,20.0
12368,33068,
12369,33069,10.0
12370,33070,
12371,33071,
12372,33072,
12373,33073,
12374,33074,
12375,33075,8.0
12376,33076,
12377,33077,
12378,33078,
12379,33079,
12380,33080,9.0
12381,33081,18.0
12382,33082,
12383,33083,
12384,33084,
12385,33085,
12386,33086,
12387,33087,
12388,33088,
12389,33089,
12390,33090,7.0
12391,33093,
12392,33094,
12393,33095,
12394,33096,11.0
12395,33097,10.0
12396,33098,
12397,33099,8.0
12398,33100,
12399,33101,
12400,33102,
12401,33103,
12402,33104,9.0
12403,33105,
12404,33106,
12405,33108,36.0
12406,33109,
12407,33111,
12408,33112,
12409,33113,
12410,33114,13.0
12411,33115,
12412,33116,
12413,33117,
12414,33118,
12415,33119,26.0
12416,33120,
12417,33121,
12418,33122,5.0
12419,33123,12.0
12420,33124,
12421,33125,10.0
12422,33126,
12423,33127,
12424,33128,
12425,33129,
12426,33130,
12427,33131,
12428,33132,
12429,33133,
12430,33134,
12431,33135,
12432,33136,
12433,33137,
12434,33138,17.0
12435,33139,
12436,33140,10.0
12437,33141,
12438,33142,
12439,33143,10.0
12440,33144,
12441,33145,
12442,33146,12.0
12443,33147,
12444,33148,
12445,33149,
12446,33150,
12447,33151,
12448,33152,
12449,33153,
12450,33154,
12451,33155,
12452,33156,
12453,33157,
12454,33158,
12455,33159,
12456,33160,
12457,33161,
12458,33162,12.0
12459,33163,
12460,33164,
12461,33165,7.0
12462,33166,
12463,33167,19.0
12464,33168,
12465,33169,
12466,33170,
12467,33171,
12468,33172,
12469,33173,
12470,33174,
12471,33175,
12472,33176,
12473,33177,13.0
12474,33178,
12475,33179,10.0
12476,33180,
12477,33181,
12478,33182,
12479,33183,
12480,33184,
12481,33185,
12482,33186,
12483,33187,
12484,33188,
12485,33189,
12486,33190,
12487,33191,
12488,33192,10.0
12489,33193,
12490,33194,
12491,33195,
12492,33196,
12493,33197,
12494,33198,
12495,33199,9.0
12496,33200,9.0
12497,33201,
12498,33202,
12499,33203,12.0
12500,33204,
12501,33205,
12502,33206,
12503,33207,7.0
12504,33208,
12505,33209,
12506,33210,
12507,33211,
12508,33212,
12509,33213,6.0
12510,33214,11.0
12511,33215,
12512,33216,
12513,33218,
12514,33219,
12515,33220,
12516,33221,
12517,33222,
12518,33223,
12519,33224,
12520,33225,9.0
12521,33226,9.0
12522,33227,18.0
12523,33228,
12524,33229,7.0
12525,33230,
12526,33231,
12527,33232,
12528,33233,13.0
12529,33234,6.0
12530,33235,
12531,33236,10.0
12532,33237,
12533,33238,6.0
12534,33239,
12535,33240,19.0
12536,33241,
12537,33242,
12538,33243,20.0
12539,33244,
12540,33245,
12541,33246,
12542,33247,
12543,33248,8.0
12544,33249,27.0
12545,33250,
12546,33251,
12547,33252,
12548,33253,
12549,33254,
12550,33255,
12551,33256,5.0
12552,33257,
12553,33258,
12554,33259,
12555,33260,
12556,33261,
12557,33262,8.0
12558,33263,
12559,33264,
12560,33266,
12561,33268,7.0
12562,33269,
12563,33270,
12564,33271,
12565,33272,
12566,33273,5.0
12567,33274,
12568,33275,
12569,33276,
12570,33277,
12571,33278,
12572,33279,
12573,33280,
12574,33281,11.0
12575,33282,
12576,33283,
12577,33284,6.0
12578,33285,
12579,33287,
12580,33288,
12581,33289,
12582,33290,
12583,33291,
12584,33292,
12585,33293,7.0
12586,33294,
12587,33295,
12588,33296,
12589,33297,
12590,33298,
12591,33299,
12592,33300,
12593,33301,
12594,33302,
12595,33303,
12596,33304,
12597,33305,
12598,33306,
12599,33307,
12600,33308,
12601,33309,
12602,33310,
12603,33311,
12604,33312,8.0
12605,33314,21.0
12606,33315,
12607,33316,
12608,33317,
12609,33318,12.0
12610,33319,
12611,33320,
12612,33321,
12613,33322,6.0
12614,33323,
12615,33324,19.0
12616,33325,
12617,33326,
12618,33327,10.0
12619,33328,
12620,33329,
12621,33330,
12622,33331,
12623,33332,
12624,33333,10.0
12625,33334,
12626,33335,
12627,33336,
12628,33337,15.0
12629,33339,
12630,33341,11.0
12631,33342,
12632,33343,
12633,33344,
12634,33345,
12635,33346,
12636,33347,
12637,33348,
12638,33349,
12639,33350,
12640,33351,
12641,33352,29.0
12642,33353,
12643,33354,
12644,33355,
12645,33356,
12646,33357,
12647,33358,
12648,33359,
12649,33360,
12650,33361,
12651,33362,
12652,33363,6.0
12653,33364,
12654,33365,
12655,33366,12.0
12656,33367,
12657,33369,
12658,33370,
12659,33372,
12660,33373,
12661,33374,
12662,33375,
12663,33376,5.0
12664,33377,
12665,33378,
12666,33379,
12667,33380,
12668,33381,7.0
12669,33382,
12670,33383,
12671,33384,
12672,33385,
12673,33386,
12674,33387,
12675,33388,
12676,33389,20.0
12677,33390,
12678,33391,
12679,33392,
12680,33393,15.0
12681,33394,
12682,33395,
12683,33396,
12684,33397,11.0
12685,33398,
12686,33399,
12687,33400,
12688,33401,
12689,33402,46.0
12690,33403,
12691,33404,
12692,33405,
12693,33406,
12694,33407,
12695,33408,
12696,33409,
12697,33411,
12698,33412,
12699,33413,
12700,33414,
12701,33415,
12702,33416,
12703,33417,7.0
12704,33418,
12705,33419,
