CODGEO,MED20
02013,22590.0
02014,22440.0
02015,
02016,20340.0
02017,20330.0
02018,20110.0
02019,20150.0
02020,19350.0
02021,
02022,22340.0
02023,21990.0
02024,
02025,23220.0
02027,19980.0
02028,22010.0
02029,23720.0
02030,21120.0
02031,17910.0
02032,20150.0
02033,26090.0
02034,21540.0
02035,16860.0
02036,
02037,21890.0
02038,
02039,20270.0
02040,19440.0
02041,23320.0
02042,23170.0
02043,
02044,
02046,21850.0
02047,23880.0
02048,21310.0
02049,23210.0
02050,19980.0
02051,24720.0
02052,22210.0
02053,25410.0
02054,22320.0
02055,
02056,21760.0
02057,18700.0
02058,19340.0
02059,17010.0
02060,21900.0
02061,19130.0
02062,25020.0
02063,20900.0
02064,19970.0
02065,20370.0
02066,22790.0
02067,22010.0
02068,
02069,
02070,21220.0
02071,22700.0
02072,24960.0
02073,21740.0
02074,20940.0
02075,22410.0
02076,25350.0
02077,23770.0
02078,20530.0
02079,18570.0
02080,25840.0
02081,22790.0
02082,21270.0
02083,22620.0
02084,24480.0
02085,22860.0
02086,21890.0
02087,
02088,
02089,21600.0
02090,22130.0
02091,
02093,19120.0
02094,24840.0
02095,15620.0
02096,22610.0
02097,18840.0
02098,26230.0
02099,22600.0
02100,20630.0
02101,20840.0
02102,21620.0
02103,20250.0
02104,
02105,23360.0
02106,19110.0
02107,
02108,23920.0
02109,21390.0
02110,19820.0
02111,22420.0
02112,21170.0
02114,22200.0
02115,21690.0
02116,19010.0
02117,
02118,22210.0
02119,23140.0
02120,21120.0
02121,20230.0
02122,
02123,22060.0
02124,20860.0
02125,22480.0
02126,16650.0
02127,20220.0
02128,23550.0
02129,
02130,19720.0
02131,22870.0
02132,21930.0
02133,19700.0
02134,19780.0
02135,18500.0
02136,20840.0
02137,23310.0
02138,25790.0
02139,22860.0
02140,20120.0
02141,18260.0
02142,25250.0
02143,19540.0
02144,23770.0
02145,23820.0
02146,
02148,22140.0
02149,
02150,
02151,26700.0
02152,
02153,23230.0
02154,22370.0
02155,24570.0
02156,20970.0
02157,22270.0
02158,20500.0
02159,20010.0
02160,19220.0
02162,21880.0
02163,20430.0
02164,21420.0
02165,20240.0
02166,23210.0
02167,22100.0
02168,18830.0
02169,
02170,23950.0
02171,
02172,21850.0
02173,18210.0
02174,21560.0
02175,20860.0
02176,20160.0
02177,24000.0
02178,22540.0
02179,22150.0
02180,21760.0
02181,
02182,18780.0
02183,25090.0
02184,20800.0
02185,22810.0
02186,23620.0
02187,24250.0
02188,19920.0
02189,19570.0
02190,21820.0
02191,22410.0
02192,22250.0
02193,
02194,19670.0
02195,23340.0
02196,23840.0
02197,22520.0
02198,22810.0
02199,21370.0
02200,18030.0
02201,23310.0
02203,19320.0
02204,
02205,21320.0
02206,
