CODGEO,SNHMC20,SNHMP20,SNHME20,SNHMO20,SNHM1820,SNHM2620,SNHM5020,chomeur_1564,actif_occ_temps_plein_15plus,actif_occ_temps_partiel_15plus,inactif_1564,inactif_65plus,D120H,D920H,MED20H,Ecart H/F études supérieures,Ecart H/F temps partiels,Ecart H/F actifs occupés,Ecart H/F Salaire net moyen,ets_total,ets_industrie_p,ets_impact_local_p,ets_taille50p_p,ets_creation_p,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO,TP6020,pauvrete
01004,25.2219385705337,16.9503952290049,11.2592092797497,11.7726660165518,10.8803146630726,15.0727111880743,17.2557471461375,8.9,43.7,8.1,18.4,20.9,6.313186813186813,19.532967032967036,11.576923076923077,-15.3232472407387,65.52519271490414,13.753185167592388,19.49428139919937,586.0,5.3,78.8,3.6,32.8,21.77,19.32,16.92,14.53,7.39,43.85,22.94,22.16,9.82,17.0,1
01007,24.3916709443832,16.1790520861501,11.9170583504026,12.5202210094236,10.5440727833133,15.2634870963653,16.9619516163741,4.8,50.3,8.9,15.7,20.3,7.928571428571429,20.51648351648352,13.368131868131869,-31.57894736842105,80.76923076923077,1.2345679012345678,15.546227826018166,68.0,16.2,60.3,0.0,45.6,14.04,22.54,19.07,15.25,6.25,28.94,27.23,32.77,9.36,7.0,0
01014,27.9400650469809,16.3840557838119,12.1751413121253,11.8487870624107,11.0583249275945,14.1168606649024,16.5282218768796,7.6,41.7,5.6,20.2,24.8,7.258241758241758,20.51648351648352,11.906593406593409,10.287662628651606,73.40819197430457,20.55983878484682,21.705336653107533,229.0,23.1,54.6,6.1,20.1,14.37,18.44,20.74,20.31,6.33,25.51,33.81,32.12,7.82,10.0,1
01025,25.8220761856099,15.3654639416375,11.6637937398858,12.4002968146212,10.3853961933715,14.7503723935883,16.8548597611582,4.5,51.2,8.6,15.8,19.8,8.296703296703297,20.17032967032967,13.12087912087912,-3.0303030303030303,78.94736842105263,6.382978723404255,15.732005818834969,60.0,11.7,51.7,1.7,40.0,14.34,20.0,21.92,16.26,5.31,21.63,31.97,39.18,6.27,6.0,0
01031,27.5240983647396,15.081495083206,11.4745739349452,11.759778160562,10.4160433218415,13.7091387033398,16.2349136429799,8.6,42.1,6.9,21.8,20.6,6.1923076923076925,19.31868131868132,11.087912087912088,5.875604896227412,57.457167791855554,14.73584688154884,17.475284739400603,161.0,28.6,42.9,5.6,23.0,18.72,19.35,18.23,16.46,6.17,40.22,25.74,23.54,7.5,19.0,1
01032,24.6802421906916,16.631047165755,12.4243954942089,12.42456287876,10.7388523037154,15.4556374544963,19.0458652481172,5.5,51.4,8.3,17.3,17.4,7.65934065934066,20.85164835164835,12.423076923076923,-55.54875954163308,78.97868156429558,12.560547854446206,14.225930707811475,97.0,23.7,56.7,4.1,34.0,16.59,22.47,16.98,11.55,5.01,21.41,27.58,39.91,9.46,9.0,0
01033,21.61576686356,15.1994460320715,11.2618235453948,11.8518044995766,10.7803801691885,13.2991005140743,14.3102069931003,9.6,43.4,9.6,17.5,19.9,6.131868131868132,25.274725274725277,12.714285714285714,10.4158073464186,73.03288920755796,14.427241751073796,14.800111820062684,506.0,8.5,79.1,3.0,34.6,17.88,20.45,20.15,13.74,6.59,34.82,25.87,27.99,9.23,16.0,1
01034,24.2525569013509,15.2156427888192,11.0201945498117,11.3928313345605,10.3722758227566,13.4580460628542,15.0196451321101,8.8,37.2,8.2,18.4,27.4,6.214285714285714,19.307692307692307,11.291208791208792,3.568416828650632,73.56991965019735,7.349640387680821,12.2669084540946,401.0,9.5,78.6,5.2,26.7,16.32,17.05,19.58,15.97,10.47,43.96,23.35,20.17,9.22,18.0,1
01043,30.1322733156743,17.5340850547495,12.7294503360809,13.1584963591651,10.7711249248982,20.1704594751217,23.7273376539336,4.1,48.2,9.2,16.7,21.8,9.054945054945057,26.51648351648352,15.434065934065934,8.910891089108912,80.078125,3.318385650224215,15.26385379746259,304.0,7.2,64.1,4.6,29.9,15.29,18.2,22.86,15.21,8.01,24.87,30.63,34.55,9.69,5.0,0
01053,24.300549828016,15.0897431551513,11.1660365478301,11.1938105631268,10.5313047732271,13.594967037371,15.3272432470883,9.1,34.2,8.2,22.2,26.3,5.725274725274725,19.18131868131868,10.791208791208792,-22.860266768002784,70.76819104980285,0.1220241815391051,10.722451575233114,1998.0,5.1,73.6,5.3,32.5,20.62,16.79,18.18,16.34,9.99,51.38,20.01,16.59,10.09,22.0,1
